site_name,latitude,longitude
Alcock Island,-64.24,-61.127
Anagram Islands,-65.209,-64.331
Andresen Island site 1,-66.879,-66.649
Andresen Island site 2,-66.875,-66.711
Armstrong Reef,-65.891944,-66.211667
Astrolabe Island,-63.316,-58.683
Atriceps Island,-60.783333,-45.15
Avian Island,-67.7732,-68.8855
Avicenna Bay,-64.4566,-62.365
Barcroft Islands area,-66.4575,-67.1397
Barrientos Island (Aitcho Islands),-62.406389,-59.749167
Bates Island,-65.820981,-65.630586
Beaver Rocks,-63.678333,-59.371667
Bell Island,-64.2782,-61.9976
Bell Point,-62.11044,-58.864746
Beneden Head,-64.7671,-62.701
Bernard Rocks,-64.12861,-62.01861
Blake Island,-63.649,-59.0303
Bluff Island,-64.3475,-61.5458
Bob Island,-64.9417,-63.4417
Bongrain Point (Pourquoi Pas Is),-67.7233,-67.7319
Boyer Rocks,-63.583333,-59.036389
Brown Station,-64.895556,-62.870278
Bruce Island,-64.8956,-63.1158
Bryde Island East,-64.8897,-62.9272
Byers Peninsula northeast,-62.6164,-61.0283
Byers Peninsula west,-62.63,-61.14
Byewater Point,-62.7528,-61.5021
Cape Anna,-64.5881,-62.4322
Cape Anna South,-64.5999,-62.4305
Cape Astrup,-64.710833,-63.182778
Cape Evensen north,-66.14278,-65.69917
Cape Garry,-63.3633,-62.2566
Cape Herschel Rock,-64.0781,-61.0324
Cape Kjellman,-63.7249,-59.4145
Cape Laure,-64.766683,-63.349233
Cape Lindsey,-61.107,-55.48
Cape Neumayer South,-63.720278,-60.585556
Charles Point,-64.21583,-61.00111
Chatos Island,-67.66,-69.152
Chionis Island,-63.8783,-60.6385
Chionis Island northeast,-63.8688,-60.5803
Chionis Island southwest,-63.8918,-60.6805
Christine Island,-64.7946,-64.0236
Claude Point,-64.1167,-62.61
Cobalescou Island,-64.1795,-61.6499
Cockburn Island,-64.2005,-56.8412
Cone Island,-67.6749,-69.1531
Cormorant Island,-64.7939,-63.9667
Cuthbertson Rock,-60.7011,-44.4523
Cuverville Island,-64.6875,-62.6219
Darbel Islands,-66.3808,-65.9003
Davey Point,-61.9689,-58.5302
Davis Island East,-64.08917,-62.05472
Delaite Island,-64.5643,-62.1881
Demas Rocks,-63.35,-58.0333
Detaille Island,-66.8708,-66.7867
Dorian Beacon,-64.811111,-63.511389
Driencourt Point,-64.2072,-62.5375
Duperré Bay,-64.461389,-62.657222
Duroch Islands,-63.3033,-57.8903
Duthiers Point,-64.8049,-62.8179
Duthoit Point,-62.307,-58.835
Earle Island,-63.489,-54.788
Eckener Point,-64.4309,-61.6042
Elephant Rocks,-64.7695,-64.0735
Emperor Island,-67.8647,-68.71
Enterprise Island,-64.5418,-61.9988
Eta Island (Melchior group),-64.2986,-62.8805
Extension Reef,-65.9675,-66.121944
Fish Islands,-66.0275,-65.361111
Fitchie Bay,-60.724,-44.522
Fleming Point,-64.3319,-62.5889
Fort Point,-62.5431,-59.5752
Gaston Islands,-64.4848,-61.827
Georges Point,-64.6694,-62.6696
Georges Point (Ronge Island),-64.6694,-62.6696
Ginger Island,-67.7494,-68.6858
Girdler Island,-66.0108,-65.6506
Green Island,-65.3236,-64.1487
Grey Island,-60.7487,-45.0149
Grinder Rock,-63.9571,-61.4326
Guébriant Islands,-67.8017,-68.4053
Half Moon Island,-62.5901,-59.9203
Hannah Point,-62.6545,-60.6134
Harmony Point,-62.3064,-59.2425
Holdfast Point,-66.7917,-66.5867
Hombron Rocks,-63.466,-58.7
Hunt Island,-64.333,-62.117
Hydrurga Rocks,-64.1454,-61.6259
Inaccessible Islands,-60.5667,-46.7333
Islet 1 km W of Lavosier Island,-66.122,-66.829
Islet E of Guepratte Island,-64.492778,-62.955
Islet N of Jagged Island,-65.96,-65.6619
Islet N of Meusnier Point,-64.5192,-61.6031
Islet NE of Fitzkin Island,-65.514,-65.48
Islet next to Laktionov Island,-65.758531,-65.789737
Islet NW of Spert Island,-63.8225,-60.959722
Islet off of Cape Davidson,-60.75056,-44.81833
Islet SE of Gerlache Island (1/2),-64.601,-64.214
Islet SE of Gerlache Island (2/2),-64.6037,-64.2094
Islet SE of Hennessy Islands,-65.9008,-65.6789
Islets E of Roget Rocks,-64.332778,-61.139167
Islets N of Cape Roquemaurel,-63.5361,-58.9664
Islets N of Dodman Island,-65.91667,-65.78333
Jacques Peak,-64.5097,-61.8481
Jenny Island,-67.733,-68.383
Jingle Island,-65.4303,-65.3253
Joubin Islands,-64.7744,-64.3992
Jougla Point,-64.827,-63.4932
Kater Rocks,-63.7658,-59.8969
Ketley Point,-64.7066,-62.7631
Killingbeck Island,-67.5714,-68.0733
Kitchen Point,-62.387,-59.347
Lagoon Island,-67.593809,-68.239028
Lagotellerie Island,-67.8869,-67.4017
Lajarte Islands (north),-64.22,-63.5
Lajarte Islands (south),-64.2417,-63.4833
Lecointe Island,-64.266,-62.05
Leith Cove,-64.8717,-62.8265
Lobodon Rocks,-64.0892,-61.6228
Maipo Island,-64.4239,-62.2822
Marie Island,-66.1217,-65.7536
Martin Islands,-65.6329,-65.324
Meade Islands,-62.4489,-60.0608
Metchnikoff Point,-64.0417,-62.5667
Midas Island,-64.1685,-61.1008
Milburn Bay Northwest Rocks,-63.7247,-60.805
Mitchell Point,-64.2158,-62.0488
Montrol Rock,-62.971111,-56.3725
Monument Rocks,-64.017,-60.9433
Murray Islands,-60.769071,-44.526141
Neko Harbour,-64.8383,-62.5327
Newell Point,-62.3374,-59.52
Omega Island (Melchior group),-64.3438,-62.9531
Orne Islands,-64.659,-62.6631
Palaver Point,-64.1486,-61.759
Patrick Island,-65.5148,-65.6457
Paulet Island,-63.5801,-55.7881
Pearl Rocks,-63.589722,-59.889722
Petermann Island,-65.1721,-64.142
Pickwick Island north,-65.466389,-65.542222
Pickwick Island south,-65.512,-65.6541
Pinguino Island,-64.1435,-60.9857
Pirie Peninsula,-60.6825,-44.6782
Pleneau Island,-65.104,-64.0556
Port Charcot,-65.067,-64.026
Powell Island west,-60.6877,-45.1013
Priest Island,-64.866667,-63.516667
Principal Point,-64.9121,-63.431
Py Point,-64.8792,-63.5974
Quinton Point (center),-64.335278,-63.683056
Quinton Point (north),-64.314444,-63.636667
Quinton Point (south),-64.346389,-63.685
Racovitza Islands,-64.5175,-62.0744
Red Rock Ridge,-68.2878,-67.1686
Robert Point,-62.45,-59.383
Roca Islands,-65.1875,-64.4483
Rocks near Andersson Island,-63.560278,-56.485556
Roe Island,-64.0192,-60.8242
Rudmose Rocks,-60.676,-44.602
Rugged Island,-62.644,-61.1887
Rugged Rocks,-62.6012,-59.8155
San Eladio Point,-64.844,-63.1166
Screen Islands,-65.0267,-63.6856
Seal Islands,-60.975,-55.393
Shag Island,-62.1844,-58.2956
Signey Island,-60.71,-45.628
Small Island,-64.0215,-61.453
Spigot Peak Point,-64.625,-62.558
Sprightly Island,-64.2844,-61.0709
Stinker Point,-61.221426,-55.379594
Stonington Island,-68.186076,-66.997005
Strath Point,-64.5289,-62.5986
Tetrad Islands,-63.9171,-60.7353
Three islands west of Gerlache Island,-64.5921,-64.2471
Tournachon Rocks,-64.318889,-61.119167
Triangle Point,-62.522,-59.839
Trinity Island Southwest,-63.9,-60.879
Truant Island,-64.923,-63.407
Trundle Island,-65.3938,-65.2885
Tupinier Islands,-63.3702,-58.2669
Turret Point,-62.0875,-57.9514
Two islets W of Winkle Island,-65.52,-65.686
Unnamed Island (south of Martin Island),-65.6881,-65.3381
Unnamed Island off Cape Wallace,-63.2211,-62.1845
Unnamed islands off SW Low Island,-63.3242,-62.2932
Upper Island,-66.0075,-65.6414
Uruguay Island,-65.23804,-64.222733
Useful Island,-64.717,-62.871
Vize Islands,-65.6739,-65.5864
Waterboat Point,-64.8236,-62.8581
Watson Peninsula,-60.6714,-44.5483
Whaler's Bay,-62.983232,-60.561715
Wiencke Island east,-64.8167,-63.2667
Yalour Islands,-65.2389,-64.1564
